storeNo,seller_userName,password
1,12668351,383642
2,64188238,996804
3,34224389,518393
4,27096594,493057
5,63990456,806550
6,46080508,634901
7,12383036,956954
8,48196476,197953
9,82915881,652295
10,25052261,261339
11,41688128,963128
12,61152819,710390
13,39927095,136558
14,21851122,240143
15,15969115,981241
16,29571678,908589
17,49250243,429119
18,10905345,600682
19,99475874,271553
20,41955865,656447
21,50236810,391159
22,14443677,530938
23,38150395,276836
24,99983800,704557
25,62140803,128610
26,78331411,698671
27,80234064,631760
28,58729439,499684
29,39862930,119716
30,25072545,326878
31,74922747,656700
32,41514230,232967
33,44871080,397175
34,62642694,440714
35,22105351,708090
36,22145403,381293
37,37879940,421487
38,61282375,730611
39,55406350,332002
40,79978832,102718
41,71202400,475675
42,53932550,773482
43,25673859,683978
44,29559766,204317
45,50322793,436780
46,23393732,831203
47,70000763,318537
48,71072121,349566
49,34102536,785910
50,61032772,320176
51,38813979,485242
52,43699689,391977
53,51739473,345160
54,55328826,232963
55,32278824,193146
56,37626555,461211
57,92531589,838472
58,60746611,816165
59,30655946,120691
60,52220821,794812
61,89726380,838227
62,76219630,744593
63,75806053,702284
64,20737903,301227
65,50796067,394731
66,77725348,172411
67,63477966,795142
68,47118785,698957
69,92312565,347611
70,64283835,326011
71,20935391,245905
72,61395104,432024
73,83103694,170508
74,32787411,313507
75,60961876,714227
76,31334164,298359
77,87658234,285936
78,36619230,438652
79,59860942,839117
80,52381764,884939
81,79001567,662192
82,27316715,401165
83,24965839,249885
84,75676724,911061
85,19458612,532706
86,81514380,524504
87,13616325,284967
88,55988488,904214
89,38122042,704899
90,93764656,626176
91,75778262,985899
92,47234706,989535
93,75691110,712415
94,32394245,938137
95,30436497,313168
96,71120160,467137
97,69285508,718225
98,11127582,707480
99,41596150,242312
100,18497026,133959
101,94579693,661391
102,40596392,232525
103,64435565,768631
104,53901669,757727
105,16805476,228793
106,89424427,156780
107,69064922,889484
108,67135350,542084
109,81946392,546353
110,24129797,922635
111,78499457,303997
112,97871023,478816
113,22024930,115264
114,15846720,518173
115,26387630,249319
116,82994973,887730
117,55418532,140910
118,50207815,298206
119,87442890,704222
120,72320051,122969
121,49277700,957547
122,26116719,913242
123,15316473,560114
124,61672585,509696
125,13986544,813419
126,12122649,920912
127,72565350,999373
128,99024546,224242
129,39137686,473798
130,67309207,501040
131,30998580,598615
132,27875049,725609
133,20696930,706475
134,84606209,653339
135,20783754,445742
136,76761231,277660
137,85970454,464704
138,83873916,873339
139,27560767,359861
140,50404852,444596
141,38749913,514573
142,60829003,200021
143,50577399,909235
144,81603030,271158
145,74993607,784931
146,43526551,701267
147,18278373,166425
148,31952898,425595
149,92713676,553038
150,57338794,215041
151,20585131,315221
152,74055483,594575
153,76914754,404064
154,11493746,207096
155,87305540,851455
156,22844843,565100
157,69896069,186269
158,92138956,453862
159,28361602,379136
160,94930281,614664
161,76336828,774810
162,93203892,111641
163,91521302,521456
164,81587274,143612
165,51233433,461117
166,85930758,431996
167,85414999,276285
168,83060089,614247
169,66856653,135639
170,87604866,425484
171,54511835,284090
172,87940158,529024
173,88283821,191910
174,54083517,135440
175,48636298,746587
176,92330462,694003
177,24973961,364321
178,33380615,213392
179,36483275,262074
180,96379433,144960
181,60015834,948503
182,78537282,981203
183,57580359,772517
184,42388859,893283
185,28614184,143514
186,62848102,708171
187,47545827,944350
188,10047141,215888
189,78639103,339908
190,28500406,208704
191,56015247,496054
192,45859875,986440
193,39576378,804000
194,38372232,963012
195,45583829,856366
196,62883771,782748
197,57062620,787572
198,87676777,593549
199,46117606,445293
200,43595298,669518
201,26856506,673018
202,78992725,398076
203,34688605,793990
204,83759747,218064
205,61263282,736045
206,49800296,200923
207,40545282,206930
208,67664973,298031
209,10939047,533195
210,18948427,596953
211,95934130,184036
212,70823429,443993
213,13763549,310755
214,55213581,846018
215,67833228,711652
216,40553984,446733
217,69888111,731217
218,68059209,362302
219,93150185,106739
220,56555095,796494
221,20126958,599525
222,99568137,358262
223,78798792,599462
224,40719089,592023
225,60264342,546079
226,20134400,658375
227,86280485,272203
228,89699966,891836
229,64300991,705352
230,70502851,756008
231,12509597,118501
232,93473986,324840
233,58156144,983147
234,27336623,220581
235,81959484,603467
236,41511526,532923
237,54366393,647941
238,66317846,435284
239,66327604,144901
240,14206420,179355
241,60535128,122381
242,95280431,849805
243,47339581,173101
244,51060403,648493
245,12126143,561912
246,66406353,522102
247,92806340,239617
248,19040791,669004
249,27281731,119009
250,18245310,501594
251,90844622,161824
252,13945469,855986
253,82479929,281983
254,92428950,612527
255,96070368,256844
256,97351818,883134
257,61098186,788783
258,51299970,314255
259,18061325,129723
260,83841720,751089
261,80932063,892006
262,17781328,297625
263,31135375,956037
264,43729650,171429
265,45974655,816995
266,72792348,135512
267,44199218,907823
268,74452364,201362
269,97069642,390607
270,67685042,991182
271,90387490,961156
272,76779988,250685
273,89531190,188033
274,43898483,593198
275,51212835,349166
276,93413344,833206
